"Frequency Response - Position"
"Axis-1: 1 - 200Hz"
"Index","Time","CH1:POS3D","CH2:TCMD","CH3:SPEED","CH4:ABS","CH1_1:POSC"
"","msec","mm","%","1/min","mm","mm"
145,145.000000,16.79870000,12.04339467,1248.32153320,21.20151520,16.80500000
146,146.000000,16.96410000,17.33040374,1248.66485596,21.40880585,16.97170000
147,147.000000,17.13080000,7.71765998,1245.91827393,21.61830902,17.13830000
148,148.000000,17.29880000,9.88739357,1258.85009766,21.82735443,17.30500000
149,149.000000,17.46680000,7.74512497,1250.95367432,22.03609467,17.47170000
150,150.000000,17.63540000,-1.00247185,1256.33239746,22.24670410,17.63830000
151,151.000000,17.80440000,5.45179896,1261.59667969,22.45529175,17.80500000
152,152.000000,17.97240000,-2.03240868,1250.49591064,22.66483307,17.97170000
153,153.000000,18.14130000,-2.82889316,1260.22338867,22.87456512,18.13830000
154,154.000000,18.30900000,2.34825597,1254.50134277,23.08242798,18.30500000
155,155.000000,18.47650000,-5.54792639,1248.20709229,23.29185486,18.47170000
156,156.000000,18.64400000,1.92254875,1257.01904297,23.49979401,18.63830000
157,157.000000,18.81000000,2.78769569,1244.20166016,23.70716095,18.80500000
158,158.000000,18.97590000,-0.37077726,1246.94824219,23.91582489,18.97170000
159,159.000000,19.14130000,9.95605603,1250.15258789,24.12242889,19.13830000
160,160.000000,19.30580000,5.38313650,1238.25073242,24.33013916,19.30500000
161,161.000000,19.47120000,7.86871739,1249.92370605,24.53830719,19.47170000
162,162.000000,19.63620000,14.25432573,1245.46051025,24.74491119,19.63830000
163,163.000000,19.80180000,5.12221917,1241.91284180,24.95391846,19.80500000
164,164.000000,19.96820000,11.94726723,1255.76019287,25.16185760,19.97170000
165,165.000000,20.13410000,9.94232354,1243.74389648,25.36968231,20.13830000
166,166.000000,20.30150000,2.82889316,1251.64031982,25.57956696,20.30500000
167,167.000000,20.46920000,11.01345784,1257.13348389,25.78727722,20.47170000
168,168.000000,20.63660000,0.75528701,1245.57495117,25.99666595,20.63830000
169,169.000000,20.80520000,2.03240868,1260.22338867,26.20616913,20.80500000
170,170.000000,20.97280000,6.52293326,1252.44140625,26.41384125,20.97170000
171,171.000000,21.14050000,-4.65531447,1248.89373779,26.62391663,21.13830000
172,172.000000,21.30860000,3.72150508,1260.56671143,26.83204651,21.30500000
173,173.000000,21.47510000,1.64789893,1244.43054199,27.03994751,21.47170000
174,174.000000,21.64230000,-3.07607800,1251.98364258,27.24941254,21.63830000
175,175.000000,21.80880000,8.95358418,1253.47137451,27.45609283,21.80500000
176,176.000000,21.97420000,0.24718484,1239.62402344,27.66456604,21.97170000
177,177.000000,22.14040000,4.82010437,1254.04357910,27.87284851,22.13830000
178,178.000000,22.30550000,11.75501236,1244.65942383,28.07926178,22.30500000
179,179.000000,22.47100000,1.60670146,1241.91284180,28.28849792,22.47170000
180,180.000000,22.63700000,12.97720406,1256.21795654,28.49575043,22.63830000
181,181.000000,22.80240000,9.18703653,1239.39514160,28.70338440,22.80500000
182,182.000000,22.96900000,3.24086789,1251.98364258,28.91315460,22.97170000
183,183.000000,23.13550000,14.62510299,1254.27246094,29.12006378,23.13830000
184,184.000000,23.30200000,1.48310904,1241.68395996,29.32956696,23.30500000
185,185.000000,23.47000000,5.89123867,1261.02447510,29.53868866,23.47170000
186,186.000000,23.63720000,9.83246361,1249.35150146,29.74597931,23.63830000
187,187.000000,23.80480000,-4.38066465,1248.43597412,29.95658875,23.80500000
188,188.000000,23.97290000,7.77258995,1262.51220703,30.16437531,23.97170000
189,189.000000,24.13970000,1.84015380,1242.94281006,30.37265778,24.13830000
190,190.000000,24.30730000,-2.93875309,1255.87463379,30.58269501,24.30500000
191,191.000000,24.47430000,9.88739357,1254.61578369,30.78929901,24.47170000
192,192.000000,24.64050000,-2.65037078,1240.19622803,30.99853516,24.63830000
193,193.000000,24.80750000,3.98242241,1259.53674316,31.20704651,24.80500000
194,194.000000,24.97320000,10.45042571,1243.97277832,31.41342163,24.97170000
195,195.000000,25.13930000,-2.49931338,1243.97277832,31.62334442,25.13830000
196,196.000000,25.30580000,12.86734414,1258.62121582,31.83017731,25.30500000
197,197.000000,25.47110000,6.09722604,1236.41967773,32.03788757,25.47170000
198,198.000000,25.63780000,1.22219171,1253.35693359,32.24765778,25.63830000
199,199.000000,25.80410000,16.05328207,1252.78472900,32.45376587,25.80500000
200,200.000000,25.96990000,-0.08239495,1238.13629150,32.66334534,25.97170000
